City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,batang,-6.4846,110.7083,299.65,80,96,1.36,ID,1730755132
229,arraial do cabo,-22.9661,-42.0278,297.13,94,75,7.72,BR,1730755134
230,barabai,-2.5833,115.3833,295.64,96,58,0.53,ID,1730755135
231,panama city beach,30.1766,-85.8055,302.16,61,40,5.66,US,1730755127
232,cooma,-36.2333,149.1333,285.77,75,85,3.26,AU,1730755137
233,selfoss,63.9331,-20.9971,281.51,90,100,3.31,IS,1730755138
234,uturoa,-16.7333,-151.4333,299.58,81,93,5.42,PF,1730755139
235,moyale,3.5167,39.0584,293.96,75,71,2.36,KE,1730755141
236,thompson,55.7435,-97.8558,274.24,80,100,2.57,CA,1730755142
237,alice springs,-23.7,133.8833,296.9,57,8,2.57,AU,1730755143
238,labuan,5.2767,115.2417,297.35,100,20,0.0,MY,1730755144
239,howard springs,-12.497,131.047,299.1,91,98,1.49,AU,1730755145
240,preobrazheniye,42.9019,133.9064,273.92,57,0,2.28,RU,1730755147
241,patterson,37.4716,-121.1297,293.71,32,0,4.84,US,1730755048
242,sinabang,2.4803,96.3801,298.86,85,100,1.2,ID,1730755149
243,bel ombre,-4.6167,55.4167,299.06,83,20,1.03,SC,1730755150
244,codrington,-38.2667,141.9667,283.13,81,1,2.24,AU,1730755151
245,fort st. john,56.2499,-120.8529,273.09,86,100,2.06,CA,1730755152
246,yoichi,43.2039,140.7703,278.73,62,43,8.49,JP,1730755154
247,tocache,-8.1842,-76.5125,304.71,50,97,0.73,PE,1730755155
248,berezovyy,51.6667,135.7,265.57,86,100,1.11,RU,1730755156
249,lebu,-37.6167,-73.65,286.78,68,85,2.76,CL,1730755157
250,kayar,14.9192,-17.1211,298.68,79,0,5.19,SN,1730755158
251,nyborg,55.3127,10.7896,283.11,74,100,2.36,DK,1730755175
252,kyaikkami,16.08,97.5675,299.29,77,66,3.7,MM,1730755177
253,ji'an,27.1172,114.9793,291.51,64,100,4.52,CN,1730755181
254,ugoofaaru,5.6667,73.0,300.64,74,99,3.58,MV,1730755182
255,muntok,-2.0667,105.1833,298.53,83,100,2.65,ID,1730755183
256,mahenge,-8.6833,36.7167,293.85,64,1,2.27,TZ,1730755184
257,afaahiti,-17.75,-149.2833,297.99,85,100,5.22,PF,1730755185
258,rudnichnyy,59.617,52.4703,267.19,88,76,2.02,RU,1730755187
259,bossangoa,6.4926,17.4552,295.72,87,100,1.56,CF,1730755188
260,altai,46.3722,96.2583,269.7,63,69,1.17,MN,1730755189
261,fortuna,40.5982,-124.1573,289.78,71,100,1.54,US,1730755190
262,floro,61.5996,5.0328,282.13,100,75,2.57,NO,1730755191
263,itapetininga,-23.5917,-48.0531,293.48,97,100,3.1,BR,1730755192
264,utrik,11.2278,169.8474,300.85,74,100,2.07,MH,1730755194
265,alesund,62.4723,6.1549,285.24,93,75,5.14,NO,1730755195
266,lompoc,34.6391,-120.4579,297.09,44,0,7.2,US,1730755065
267,mahina,-17.5065,-149.489,302.02,65,40,5.14,PF,1730755197
268,amursk,50.2261,136.8994,269.06,62,100,5.17,RU,1730755198
269,awjilah,29.1081,21.2869,291.7,47,0,2.29,LY,1730755201
270,harper,4.375,-7.7169,298.47,88,11,2.41,LR,1730755202
271,belmonte,-15.8631,-38.8828,296.61,89,15,3.09,BR,1730755127
272,suva,-18.1416,178.4415,300.86,69,75,4.12,FJ,1730754908
273,coxim,-18.5067,-54.76,303.25,59,74,1.73,BR,1730755205
274,opuwo,-18.0607,13.84,296.02,25,82,1.43,NA,1730755207
275,usinsk,65.9939,57.5281,269.12,95,100,8.2,RU,1730755208
276,manga,11.6636,-1.0731,299.17,23,11,3.65,BF,1730755209
277,de aar,-30.6497,24.0123,280.57,56,86,11.98,ZA,1730755210
278,zrenjanin,45.3836,20.3819,280.02,44,62,2.25,RS,1730755211
279,holualoa,19.6228,-155.9522,301.23,71,20,3.6,US,1730755212
280,ta`u,-14.2336,-169.5144,300.78,81,100,4.7,AS,1730755214
281,saint-pierre,-21.3393,55.4781,294.97,78,0,1.54,RE,1730755215
282,gadzhiyevo,69.2551,33.3362,271.74,83,61,9.14,RU,1730755217
283,inongo,-1.95,18.2667,295.35,96,98,2.56,CD,1730755218
284,zanzibar,-6.1639,39.1979,297.77,88,2,2.23,TZ,1730755219
285,nizhniy odes,63.6445,54.856,268.6,88,100,3.52,RU,1730755221
286,dothan,31.2232,-85.3905,300.28,61,75,3.09,US,1730755139
287,kyshtovka,56.555,76.6271,271.93,67,11,7.9,RU,1730755223
288,marktheidenfeld,49.8442,9.6039,279.05,75,0,1.68,DE,1730755224
289,ko pha ngan,9.7578,100.0291,295.9,85,100,3.65,TH,1730755225
290,nizhneudinsk,54.9076,99.0276,273.31,69,75,1.99,RU,1730755226
291,san patricio,28.017,-97.5169,304.12,64,88,11.21,US,1730755228
292,zelenogorskiy,55.0333,87.0,281.25,77,100,4.64,RU,1730755229
293,phaphund,26.6,79.4667,295.72,35,0,1.73,IN,1730755230
294,rustington,50.8103,-0.5067,284.22,94,97,3.89,GB,1730755231
295,qaqortoq,60.7167,-46.0333,263.87,82,20,3.18,GL,1730755232
296,la passe,45.5549,-0.8967,288.89,88,99,3.36,FR,1730755233
297,dailekh,28.8333,81.6667,288.34,84,6,2.51,NP,1730755235
298,howrah,22.5892,88.3103,298.15,88,20,2.06,IN,1730755236
299,ursulo galvan,22.7333,-98.3,305.48,69,43,4.98,MX,1730755237
300,northam,51.0333,-4.2167,285.16,93,100,5.43,GB,1730755238
301,dudinka,69.4058,86.1778,267.18,89,42,8.47,RU,1730755240
302,alotau,-10.3069,150.4462,299.56,84,74,1.23,PG,1730755241
303,izsak,46.8045,19.3517,278.93,46,26,3.27,HU,1730755242
304,los andes,-32.8337,-70.5983,296.13,20,0,3.65,CL,1730755243
305,san cristobal,7.7669,-72.225,300.89,81,100,1.26,VE,1730755244
306,aykhal,66.0,111.5,256.19,96,100,5.65,RU,1730755245
307,salinopolis,-0.6136,-47.3561,300.18,75,67,5.45,BR,1730755247
308,namsos,64.4662,11.4957,281.1,93,75,6.69,NO,1730755248
309,marco island,25.9363,-81.7157,302.15,78,88,5.83,US,1730755135
310,mount gambier,-37.8333,140.7667,282.44,84,5,1.39,AU,1730755250
311,kalmunai,7.4167,81.8167,298.51,83,99,1.08,LK,1730755251
312,divnogorsk,55.9594,92.3619,282.42,78,97,3.22,RU,1730755252
313,elimaki,60.7167,26.4667,271.91,99,100,1.63,FI,1730755253
314,portsmouth,50.799,-1.0913,284.81,71,55,1.34,GB,1730755255
315,hirara,24.8,125.2833,299.07,83,40,5.14,JP,1730755256
316,badger,64.8,-147.5333,265.92,82,75,0.0,US,1730755257
317,ulysses,37.5814,-101.3552,279.17,100,100,7.72,US,1730755258
318,iznalloz,37.3926,-3.5276,287.91,74,84,1.2,ES,1730755259
319,mawu,34.4307,104.9176,275.93,87,0,2.21,CN,1730755260
320,konosha,60.9736,40.257,269.88,89,100,3.47,RU,1730755262
321,praia da vitoria,38.7333,-27.0667,294.29,83,75,9.95,PT,1730755263
322,taroa,8.7058,171.2275,301.05,73,100,2.12,MH,1730755264
323,saldanha,-33.0117,17.9442,283.18,61,0,10.48,ZA,1730755265
324,tullahoma,35.362,-86.2094,297.01,58,0,5.14,US,1730755266
325,happy valley-goose bay,53.3168,-60.3315,273.32,51,75,1.54,CA,1730755268
326,berdigestyakh,62.0989,126.6992,245.06,100,95,0.1,RU,1730755269
327,akhtyrskiy,44.8546,38.3031,278.75,66,54,5.94,RU,1730755271
328,cabo san lucas,22.8909,-109.9124,300.24,44,0,7.2,MX,1730754981
329,yangiyer,40.275,68.8225,289.15,58,100,3.1,UZ,1730755273
330,derzhavinsk,51.1,66.3167,270.82,76,9,3.05,KZ,1730755274
331,guerrero negro,27.9769,-114.0611,296.16,32,0,8.74,MX,1730755275
332,jabat,7.75,168.9751,301.11,71,63,1.7,MH,1730755277
333,cegled,47.1727,19.7995,278.58,58,94,2.92,HU,1730755278
334,santa ana,33.7456,-117.8678,299.97,20,0,5.14,US,1730755279
335,tadine,-21.55,167.8833,297.21,61,57,5.51,NC,1730755280
336,leh,34.1667,77.5833,272.86,34,0,2.63,IN,1730755281
337,deir ez-zor,35.3359,40.1408,291.47,67,0,3.32,SY,1730755019
338,lata,40.1629,-8.3327,288.67,86,88,2.63,PT,1730755284
339,belyy yar,53.6039,91.3903,269.09,100,100,0.0,RU,1730755285
340,yerofey pavlovich,53.9667,121.9667,258.99,88,2,1.81,RU,1730755286
341,emerald,-23.5333,148.1667,295.56,73,9,4.54,AU,1730755287
342,motygino,58.1831,94.7592,271.35,92,97,0.9,RU,1730755290
343,alofi,-19.0595,-169.9187,296.09,88,75,5.14,NU,1730755292
344,recife,-8.0539,-34.8811,300.17,69,40,5.14,BR,1730755295
345,vadso,70.0744,29.7487,272.24,86,75,5.14,NO,1730755297
346,hiratacho,35.4333,132.8167,290.13,88,100,5.66,JP,1730755300
347,porto novo,6.4965,2.6036,299.77,78,0,2.28,BJ,1730755302
348,kiffa,16.6166,-11.4045,306.6,18,0,3.87,MR,1730755305
349,bandarbeyla,9.4942,50.8122,298.92,83,20,3.64,SO,1730755308
350,hit,33.6416,42.8251,292.79,63,3,0.75,IQ,1730755310
351,queenstown,-31.8976,26.8753,278.91,86,100,3.18,ZA,1730755313
352,mount pleasant,32.7941,-79.8626,295.93,89,100,7.72,US,1730755315
353,saint joseph,39.7686,-94.8466,290.93,95,100,1.54,US,1730755078
354,tucupita,9.0622,-62.051,304.52,59,98,3.23,VE,1730755321
355,ola,59.5833,151.2833,260.55,72,87,5.93,RU,1730755324
356,sanctuary point,-35.1114,150.629,289.44,80,100,0.8,AU,1730755326
357,nuku'alofa,-21.1333,-175.2,297.34,83,20,6.17,TO,1730755329
358,kayangel,8.0823,134.7173,301.71,73,86,4.13,PW,1730755332
359,olinda,-8.0089,-34.8553,300.0,69,40,5.14,BR,1730755334
360,ode,7.7899,5.7117,296.72,59,8,0.4,NG,1730755337
361,darnah,32.767,22.6367,292.71,69,26,6.75,LY,1730755339
362,narimanov,46.6927,47.8498,280.96,57,100,11.55,RU,1730755342
363,rosa zarate,0.3333,-79.4667,302.48,54,100,1.01,EC,1730755345
364,yei,4.095,30.6779,292.67,95,100,0.23,SS,1730755347
